Vehicle;Load;Num_v;Ef;Eo
V1;16000;2;0.931;0.586
V2;8000;3;0.635;0.471
V3;4180;1;0.389;0.316
;;;;
;;;;
Node;coord_x;coord_y;prod;
P;39;42;0;
F1;45;61;779;
F2;55;42;898;
F3;15;66;1026;
F4;65;71;307;
F5;17;14;1689;
F6;10;72;1386;
F7;48;18;649;
F8;31;17;1418;
F9;63;56;3069;
F10;12;51;2382;
F11;45;64;1347;
F12;36;13;600;
F13;44;53;2840;
F14;68;11;800;
F15;25;6;648;
F16;58;14;900;
F17;47;43;518;
F18;64;45;875;
F19;29;29;4796;
F20;29;25;492;
F21;57;53;597;
F22;60;13;720;
F23;15;20;1601;
F24;20;68;524;
F25;63;57;415;
F26;16;49;760;
F27;38;16;430;
F28;27;42;831;
F29;79;58;3129;
F30;55;79;4960;
F31;29;53;1840;
F32;41;14;437;
F33;29;66;314;
F34;20;41;1297;
F35;64;11;1756;
