Vehicle;Load;Num_v;Ef;Eo
V1;16000;3;0.931;0.586
V2;8000;0;0.635;0.471
V3;4180;1;0.389;0.316
;;;;
;;;;
Node;coord_x;coord_y;prod;
P;4;11;0;
F1;16;17;768;
F2;51;10;450;
F3;58;66;849;
F4;61;59;1085;
F5;17;29;710;
F6;67;16;867;
F7;13;33;580;
F8;24;37;776;
F9;44;53;1633;
F10;12;47;1708;
F11;43;53;805;
F12;15;14;628;
F13;56;54;865;
F14;46;10;882;
F15;27;36;3510;
F16;41;69;640;
F17;41;66;1127;
F18;60;13;365;
F19;72;72;1142;
F20;15;36;4726;
F21;10;32;347;
F22;63;62;1877;
F23;62;76;1367;
F24;16;8;4488;
F25;23;39;898;
F26;28;16;320;
F27;25;64;343;
F28;23;24;1245;
F29;42;67;591;
F30;16;32;655;
F31;72;57;574;
F32;63;40;343;
F33;17;66;1870;
F34;77;51;772;
F35;11;65;378;
