Vehicle,Load,Num_v,Ef,Eo
V1,16000,2,0.931,0.586
V2,8000,2,0.635,0.471
V3,4180,2,0.389,0.316
,,,,
,,,,
Node,coord_x,coord_y,prod,
P,6,7,0,
F1,23,41,781,
F2,50,47,325,
F3,69,46,1026,
F4,50,59,1639,
F5,41,66,3465,
F6,68,66,749,
F7,52,64,1022,
F8,15,63,360,
F9,18,32,967,
F10,66,44,1342,
F11,18,44,799,
F12,68,11,738,
F13,66,44,363,
F14,22,56,473,
F15,58,56,636,
F16,15,60,1771,
F17,41,76,776,
F18,58,73,2493,
F19,65,40,584,
F20,65,53,1384,
F21,21,57,2409,
F22,45,15,580,
F23,61,7,360,
F24,44,7,877,
F25,65,18,1203,
F26,16,5,668,
F27,69,42,1687,
F28,24,31,674,
F29,60,8,315,
F30,12,74,4512,
F31,38,11,378,
F32,63,72,2231,
F33,58,14,926,
F34,21,21,1305,
F35,21,6,835,
