Vehicle,Load,Num_v,Ef,Eo
V1,16000,3,0.931,0.586
V2,8000,4,0.635,0.471
V3,4180,0,0.389,0.316
,,,,
,,,,
Node,coord_x,coord_y,prod,
P,52,51,0,
F1,19,66,604,
F2,32,54,1660,
F3,23,68,1024,
F4,64,84,1750,
F5,44,6,921,
F6,27,34,505,
F7,20,74,3526,
F8,19,61,507,
F9,63,83,860,
F10,68,75,437,
F11,53,17,384,
F12,73,58,976,
F13,29,38,329,
F14,42,11,1534,
F15,22,25,1101,
F16,73,7,698,
F17,92,55,382,
F18,28,92,577,
F19,77,58,1777,
F20,81,96,1362,
F21,69,54,784,
F22,88,94,668,
F23,28,56,3253,
F24,11,22,1560,
F25,44,16,804,
F26,79,18,364,
F27,16,62,331,
F28,76,59,4644,
F29,87,18,1780,
F30,32,37,1036,
F31,22,58,1304,
F32,70,60,455,
F33,88,97,2395,
F34,71,80,937,
F35,22,14,1407,
F36,58,8,3397,
F37,61,8,856,
F38,58,81,977,
F39,72,10,336,
F40,79,16,758,
F41,23,85,738,
F42,94,57,619,
F43,63,12,767,
F44,34,22,507,
F45,40,10,555,
F46,21,7,2413,
F47,88,90,334,
F48,68,53,2418,
F49,85,84,1229,
F50,64,7,1678,
