Vehiculo,Carga,Num_v,Ef,Eo
V1,16000,3,0.931,0.586
V2,8000,3,0.635,0.471
V3,4180,1,0.389,0.316
,,,,
,,,,
Node,coord_x,coord_y,prod,
P,6,13,0,
F1,51,6,588,
F2,83,57,1436,
F3,37,8,393,
F4,29,14,589,
F5,77,92,519,
F6,24,91,2871,
F7,90,66,621,
F8,18,27,1121,
F9,23,75,699,
F10,99,50,1830,
F11,97,75,617,
F12,54,93,901,
F13,60,6,535,
F14,29,16,732,
F15,23,15,2173,
F16,33,8,2176,
F17,77,51,2351,
F18,98,84,477,
F19,53,57,533,
F20,70,72,527,
F21,21,24,1026,
F22,96,89,716,
F23,79,52,372,
F24,85,93,1818,
F25,39,20,562,
F26,55,18,642,
F27,84,75,1113,
F28,76,57,524,
F29,56,13,322,
F30,86,8,4348,
F31,72,65,1411,
F32,14,65,614,
F33,86,76,686,
F34,23,42,1266,
F35,49,15,470,
F36,93,98,2887,
F37,18,42,596,
F38,82,5,512,
F39,87,11,1792,
F40,73,13,913,
F41,87,17,618,
F42,45,18,388,
F43,14,49,4307,
F44,21,49,956,
F45,85,20,462,
F46,14,77,1322,
F47,10,83,316,
F48,62,50,667,
F49,55,76,1274,
F50,13,31,682,
