Vehicle,Load,Num_v,Ef,Eo
V1,16000,3,0.931,0.586
V2,8000,3,0.635,0.471
V3,4180,1,0.389,0.316
,,,,
,,,,
Node,coord_x,coord_y,prod,
P,52,46,0,
F1,13,78,749,
F2,2,84,565,
F3,57,15,1087,
F4,1,30,977,
F5,65,93,580,
F6,32,7,430,
F7,31,35,1462,
F8,47,39,474,
F9,56,70,724,
F10,42,54,1219,
F11,46,87,704,
F12,13,48,801,
F13,56,28,905,
F14,31,10,3527,
F15,43,69,2014,
F16,66,86,416,
F17,49,1,397,
F18,45,77,2408,
F19,91,69,300,
F20,87,16,1094,
F21,30,92,587,
F22,40,74,534,
F23,60,65,306,
F24,64,9,986,
F25,22,20,4536,
F26,58,63,633,
F27,8,24,2912,
F28,67,29,675,
F29,54,20,482,
F30,1,9,1520,
F31,38,94,396,
F32,30,21,2897,
F33,41,21,550,
F34,81,70,3348,
F35,40,61,446,
F36,51,78,317,
F37,62,50,2125,
F38,30,89,573,
F39,66,8,819,
F40,92,51,918,
F41,23,53,878,
F42,36,19,770,
F43,97,40,699,
F44,6,4,1125,
F45,98,32,555,
F46,9,46,2072,
F47,81,56,1041,
F48,91,73,462,
F49,46,32,2639,
F50,8,81,1348,
