Vehicle,Load,Num_v,Ef,Eo
V1,16000,3,0.931,0.586
V2,8000,1,0.635,0.471
V3,4180,2,0.389,0.316
,,,,
,,,,
Node,coord_x,coord_y,prod,
P,6,13,0,
F1,73,71,531,
F2,58,13,951,
F3,29,66,326,
F4,89,45,400,
F5,27,61,407,
F6,83,82,549,
F7,58,36,361,
F8,17,76,428,
F9,43,12,1078,
F10,39,56,1216,
F11,39,23,922,
F12,40,19,742,
F13,98,85,414,
F14,15,22,1363,
F15,60,84,1867,
F16,95,71,917,
F17,67,95,466,
F18,18,26,1992,
F19,81,90,481,
F20,56,54,993,
F21,73,38,564,
F22,59,26,592,
F23,30,71,520,
F24,97,91,679,
F25,88,59,2409,
F26,69,55,584,
F27,87,77,434,
F28,11,64,3099,
F29,29,29,2103,
F30,96,18,548,
F31,76,73,1544,
F32,12,97,2065,
F33,90,48,674,
F34,64,20,1315,
F35,41,91,332,
F36,25,31,3668,
F37,17,27,1151,
F38,36,54,498,
F39,36,61,526,
F40,93,52,743,
F41,10,95,428,
F42,89,92,649,
F43,74,75,360,
F44,60,42,310,
F45,71,47,1381,
F46,27,24,940,
F47,78,60,550,
F48,29,59,648,
F49,89,82,1319,
F50,76,48,2378,
