Vehicle;Load;Num_v;Ef;Eo
V1;16000;3;0.931;0.586
V2;8000;2;0.635;0.471
V3;4180;3;0.389;0.316
;;;;
;;;;
Node;coord_x;coord_y;prod;
P;49;54;0;
F1;73;91;2209;
F2;77;53;1552;
F3;92;10;515;
F4;17;91;323;
F5;51;39;650;
F6;46;17;542;
F7;17;37;681;
F8;5;74;2506;
F9;87;40;425;
F10;33;23;767;
F11;54;67;641;
F12;39;96;2702;
F13;47;8;1768;
F14;75;97;973;
F15;12;68;624;
F16;42;95;563;
F17;30;85;399;
F18;49;71;2286;
F19;88;42;4698;
F20;66;5;871;
F21;89;89;704;
F22;39;64;821;
F23;39;22;379;
F24;30;30;1328;
F25;70;22;738;
F26;25;17;945;
F27;49;56;4223;
F28;69;55;709;
F29;71;35;1509;
F30;69;48;768;
F31;74;96;2148;
F32;58;60;1202;
F33;55;37;711;
F34;54;37;1191;
F35;93;60;429;
F36;41;42;2882;
F37;15;71;548;
F38;19;45;924;
F39;11;12;1437;
F40;30;2;1272;
F41;17;53;2363;
F42;90;58;377;
F43;27;24;704;
F44;33;1;1552;
F45;51;16;1015;
F46;75;71;900;
F47;51;57;2191;
F48;10;5;1124;
F49;7;29;2215;
F50;3;24;716;
